npi,depression,tobacco,weight,bloodpressure,comparingmeds,reduceheart
1437168010,,77,40,,,
1780680074,,100,100,,,
1598990913,,,,16,,
1972563005,,87,98,,,
1669567244,,100,93,,,
1992813588,,100,,,,
1710123930,,88,,,,
1346431087,,100,,,,
1790864973,0,,,,,
1619166949,,,100,,,
1891884359,,,48,,,
1386843852,,100,,,,
1861621112,,100,,,,
1184853343,,100,,,,
1235386574,,100,98,100,,
1598962524,,,100,,,
1417136086,,,61,99,,
1316011158,,100,,,,
1598803595,,,95,,,
1497916670,,,,100,,
1245348937,,56,100,100,,
1609033521,,90,41,,,
1063675239,,100,,,,
1073514048,,96,48,,,
1902859184,,97,,,,
1326024456,,,,88,,
1215077177,,99,,86,,
1033132212,,100,,,,
1487695482,,100,,,,
1689781577,,96,,37,,
1225121346,,,72,,,
1851566095,,86,,,,
1801057765,,,100,,,
1215061304,,74,0,,,
1619070604,,85,,,,
1336302686,,86,48,,,
1679619241,,89,47,,,
1770745879,,100,,,,
1023081817,,97,,,,
1740332410,,83,61,,,
1982909693,,97,54,,,
1831406909,,95,,,,
1417111287,,95,,,,
1750572657,,100,100,,98,97
1215915822,,100,,,,
1972586022,,99,,,,
1154640001,,100,,,,
1124268388,,95,,,,
1225090566,,100,,,,
1942284948,,100,100,,,
1437154671,,,,38,,
1154317832,,,,96,,
1285684902,,100,,,,
1306831896,,100,100,,,99
1184683815,,100,,,,
1689664773,,,100,,,
1942268578,,,,,100,
1104871417,,100,,,,
1043307127,,93,,,,
1972817724,,100,,,,
1790733681,,87,,,,
1720072606,,48,89,87,,
1336541325,,,100,,,
1821400169,,,100,,,
1790912574,,92,,,,
1215178090,,100,97,100,,
1356638506,,,,12,,
1780002451,,,100,,,
1427222819,0,89,32,,,
1538475983,,100,100,100,,
1528482791,,,100,,,
1700198595,100,,,,,
1912339268,,,100,,,
1386630176,,,94,,,
1619210192,,,,,99,
1720422744,,,,100,,
1053557173,,93,,,,
1073756045,,100,,100,100,
1265694913,,,,90,,
1225345085,0,84,39,,,
1073747465,,96,,,,
1881989598,,100,,95,,
1386997716,,,64,,,
1063708816,0,90,56,,,
1508114034,,,,100,,
1164602124,,,100,,,
1356466353,,,91,,,
1124314877,,94,,,,
1346534906,,94,48,,,
1295092716,,100,88,,,
1134397581,,,90,,,
1730424508,,,100,,,
1538412259,,99,,,,
1609195643,,95,28,,,97
1932453545,,,100,,,
1255675427,,,100,,,
1679730832,,95,,,,
1124339924,,100,99,,,
1235484197,,,100,,,
1306092325,,91,27,,,
1740567452,,,100,,,
1912103797,49,99,57,,,
1366536872,,,100,,,
1083987960,,,100,,,
1235297425,100,,,,,
1356577340,,100,,,,
1780942318,,,71,,,
1932423746,,100,100,,,
1154587731,,87,,,,
1265610950,,,100,,,
1548302698,,93,49,,,
1962662981,,,,44,,
1679860993,,100,,,,
1447409420,,,,100,,
1215210810,100,100,100,,,
1023390267,100,100,98,,,
1285836171,62,,,,,
1013069186,,100,65,,,
1679765424,,100,,,,
1710146741,,99,,,,
1710280805,,,100,,,
1861774440,,,100,,,
1093034910,,,100,,,
1245319532,,,,100,,
1073726808,,,0,,,
1124075148,,100,77,,,
1427056548,,100,,,,
1477658565,,,100,,,
1083790653,,,100,,,
1841294659,,100,,,,
1518928449,,100,,,,
1306880836,,,,18,,
1154380673,,100,,,,
1164460341,,,100,,,
1215042569,,100,,,,
1629189501,,100,91,99,100,100
1629050398,0,87,53,,,
1790792448,,,,100,,
1942233929,96,97,98,98,,
1245298082,,100,,,,
1457490781,,99,47,,,
